name,code,protcnt,fibtg,choavldf,enerc,water,fasat,fams,fapu,f18d1cn9,f18d2cn6,f18d3n3,cholc,fsugar,frus,glus,sucs,starch,lactose
"Amaranth seed, black",A001,14.59,7.02,59.98,1490.0,9.89,1280.0,1033.0,2279.0,1020.0,2259.0,20.91,0.0,0.88,0.1,0.22,0.46,55.83,0.0
"Amaranth seed, pale brown",A002,13.27,7.47,61.46,1489.0,9.2,1140.0,1043.0,2266.0,1030.0,2223.0,43.03,0.0,0.8,0.1,0.22,0.48,59.33,0.0
Bajra,A003,10.96,11.49,61.78,1456.0,8.97,875.0,1047.0,1984.0,1040.0,1844.0,140.0,0.0,0.81,0.21,0.6,0.0,55.21,0.0
Barley,A004,10.94,15.64,61.29,1321.0,9.77,232.0,90.79,575.0,90.79,549.0,26.32,0.0,0.06,0.0,0.06,0.0,72.67,0.0
Jowar,A005,9.97,10.22,67.68,1398.0,9.01,163.0,314.0,524.0,314.0,508.0,16.54,0.0,1.27,0.57,0.1,0.6,59.7,0.0
"Maize, dry",A006,8.8,12.24,64.77,1398.0,9.26,413.0,706.0,1606.0,700.0,1565.0,40.76,0.0,1.66,0.16,0.8,0.7,59.35,0.0
"Maize, tender, local",A007,3.57,3.67,22.69,502.0,68.29,109.0,147.0,347.0,145.0,337.0,10.46,0.0,1.47,0.27,0.8,0.4,15.88,0.0
"Maize, tender, sweet",A008,4.16,3.3,16.42,405.0,74.4,123.0,176.0,300.0,174.0,292.0,7.65,0.0,4.67,0.91,0.97,2.79,7.45,0.0
Quinoa,A009,13.11,14.66,53.65,1374.0,10.43,570.0,1424.0,2406.0,1323.0,2203.0,204.0,0.0,1.41,0.0,1.41,0.0,48.41,0.0
Ragi,A010,7.16,11.18,66.82,1342.0,10.89,317.0,585.0,431.0,585.0,362.0,68.58,0.0,0.34,0.0,0.25,0.12,62.13,0.0
Rice flakes,A011,7.44,3.46,76.75,1480.0,10.36,284.0,425.0,577.0,425.0,553.0,24.37,0.0,0.34,0.0,0.2,0.14,68.06,0.0
Rice puffed,A012,7.47,2.56,77.68,1514.0,9.4,46.84,39.77,44.8,39.77,43.42,1.39,0.0,0.64,0.0,0.49,0.15,69.25,0.0
"Rice, raw, brown",A013,9.16,4.43,74.8,1480.0,9.33,346.0,203.0,506.0,197.0,490.0,16.1,0.0,0.69,0.0,0.55,0.14,71.31,0.0
"Rice, parboiled, milled",A014,7.81,3.74,77.16,1471.0,10.09,150.0,86.66,216.0,84.09,209.0,7.18,0.0,0.67,0.0,0.51,0.16,76.14,0.0
"Rice, raw, milled",A015,7.94,2.81,78.24,1491.0,9.93,184.0,117.0,253.0,109.0,234.0,9.51,0.0,0.69,0.0,0.54,0.15,75.7,0.0
Samai,A016,10.13,7.72,65.55,1449.0,11.36,589.0,868.0,1277.0,868.0,1230.0,47.2,0.0,0.37,0.0,0.24,0.13,56.07,0.0
Varagu,A017,8.92,6.39,66.19,1388.0,14.23,246.0,297.0,597.0,291.0,576.0,21.02,0.0,1.29,0.0,0.89,0.4,64.96,0.0
"Wheat flour, refined",A018,10.36,2.76,74.27,1472.0,11.34,98.55,50.64,343.0,50.64,325.0,17.45,0.0,1.79,0.64,0.75,0.4,70.03,0.0
"Wheat flour, atta",A019,10.57,11.36,64.17,1340.0,11.1,206.0,149.0,742.0,149.0,697.0,44.93,0.0,1.8,0.72,0.78,0.3,56.82,0.0
"Wheat, whole",A020,10.59,11.23,64.72,1347.0,10.58,191.0,141.0,654.0,141.0,616.0,38.51,0.0,1.77,0.74,0.73,0.3,57.53,0.0
"Wheat, bulgur",A021,10.84,8.81,69.06,1430.0,8.61,196.0,152.0,700.0,152.0,657.0,42.69,0.0,1.2,0.32,0.55,0.33,60.54,0.0
"Wheat, semolina",A022,11.38,9.72,68.43,1396.0,8.94,88.87,67.34,325.0,67.34,306.0,19.21,0.0,1.65,0.6,0.55,0.5,58.2,0.0
"Wheat, vermicelli",A023,9.7,9.28,70.39,1392.0,9.59,64.59,36.06,220.0,36.06,209.0,11.26,0.0,1.68,0.6,0.58,0.5,55.31,0.0
"Wheat, vermicelli, roasted",A024,10.37,9.55,71.42,1423.0,7.61,49.95,28.84,170.0,28.84,162.0,8.55,0.0,2.14,0.63,1.01,0.5,54.55,0.0
"Bengal gram, dal",B001,21.55,15.15,46.72,1377.0,9.18,469.0,876.0,2476.0,855.0,2360.0,116.0,0.0,1.03,0.1,0.1,0.63,40.49,0.0
"Bengal gram, whole",B002,18.77,25.22,39.56,1201.0,8.56,453.0,890.0,2337.0,871.0,2220.0,117.0,0.0,0.99,0.1,0.1,0.69,35.69,0.0
"Black gram, dal",B003,23.06,11.93,51.0,1356.0,9.16,276.0,186.0,742.0,186.0,176.0,566.0,0.0,0.84,0.2,0.2,0.44,47.89,0.0
"Black gram, whole",B004,21.97,20.41,43.99,1219.0,8.7,258.0,161.0,718.0,161.0,117.0,601.0,0.0,0.45,0.1,0.1,0.3,42.19,0.0
"Cowpea, brown",B005,20.36,11.54,54.62,1340.0,9.42,283.0,60.58,550.0,57.69,343.0,207.0,0.0,1.6,0.3,0.61,0.68,45.49,0.0
"Cowpea, white",B006,21.25,11.7,53.77,1340.0,9.32,285.0,70.12,557.0,67.63,354.0,203.0,0.0,1.18,0.13,0.39,0.67,46.33,0.0
"Field bean, black",B007,19.93,23.4,43.46,1155.0,9.57,188.0,80.07,468.0,80.07,398.0,69.82,0.0,1.15,0.2,0.53,0.42,40.07,0.0
"Field bean, brown",B008,19.9,22.4,45.24,1184.0,8.74,198.0,127.0,460.0,127.0,389.0,70.06,0.0,1.17,0.2,0.29,0.68,42.3,0.0
"Field bean, white",B009,19.84,22.99,44.53,1173.0,8.61,186.0,61.57,503.0,61.57,426.0,76.61,0.0,1.07,0.1,0.41,0.56,42.25,0.0
"Green gram, dal",B010,23.88,9.37,52.59,1363.0,9.77,247.0,35.85,534.0,35.85,377.0,157.0,0.0,0.95,0.1,0.3,0.55,41.06,0.0
"Green gram, whole",B011,22.53,17.04,46.13,1229.0,9.95,274.0,27.22,611.0,27.22,430.0,180.0,0.0,0.54,0.1,0.14,0.3,39.21,0.0
"Horse gram, whole",B012,21.73,7.88,57.24,1379.0,9.28,135.0,68.89,258.0,68.89,207.0,51.68,0.0,0.35,0.1,0.15,0.1,47.96,0.0
Lentil dal,B013,24.35,10.43,52.53,1349.0,9.71,91.02,112.0,336.0,112.0,266.0,70.14,0.0,1.95,0.8,0.3,0.85,44.44,0.0
"Lentil whole, brown",B014,22.49,16.82,48.47,1251.0,9.2,81.22,102.0,277.0,102.0,221.0,55.4,0.0,1.63,0.78,0.15,0.71,41.41,0.0
"Lentil whole, yellowish",B015,22.87,16.66,47.91,1246.0,9.75,76.17,92.18,274.0,92.18,217.0,57.16,0.0,1.5,0.5,0.23,0.77,42.08,0.0
Moth bean,B016,19.75,15.12,52.09,1291.0,8.14,434.0,72.25,848.0,72.25,609.0,240.0,0.0,1.36,0.1,0.62,0.64,46.64,0.0
"Peas, dry",B017,20.43,17.01,48.93,1269.0,9.33,242.0,398.0,873.0,398.0,728.0,145.0,0.0,2.03,0.61,0.48,0.94,43.04,0.0
"Rajmah, black",B018,19.01,17.74,49.59,1247.0,8.69,238.0,105.0,927.0,105.0,386.0,541.0,0.0,2.02,0.0,0.18,1.84,38.45,0.0
"Rajmah, brown",B019,19.5,16.95,48.83,1245.0,9.68,242.0,91.76,896.0,91.76,344.0,552.0,0.0,2.27,0.0,0.39,1.88,38.05,0.0
"Rajmah, red",B020,19.91,16.57,48.61,1252.0,9.87,256.0,87.84,931.0,87.84,374.0,557.0,0.0,1.52,0.0,0.23,1.29,38.55,0.0
"Red gram, dal",B021,21.7,9.06,55.23,1384.0,9.2,257.0,89.94,651.0,89.94,600.0,51.44,0.0,2.08,0.1,0.2,1.78,48.53,0.0
"Red gram, whole",B022,20.47,22.84,42.48,1146.0,9.3,277.0,78.55,637.0,78.55,585.0,51.67,0.0,1.3,0.1,0.2,1.0,38.97,0.0
Ricebean,B023,19.97,13.37,51.26,1265.0,11.12,172.0,357.0,62.93,357.0,62.93,0.0,0.0,1.33,0.2,0.73,0.4,44.05,0.0
"Soya bean, brown",B024,35.58,21.55,12.79,1596.0,5.51,3092.0,4558.0,11279.0,4499.0,9969.0,1310.0,0.0,2.51,0.2,0.63,1.68,6.65,0.0
"Soya bean, white",B025,37.8,22.63,10.16,1579.0,5.47,3002.0,4817.0,11071.0,4723.0,9754.0,1318.0,0.0,2.2,0.2,0.56,1.44,7.26,0.0
Agathi leaves,C001,8.01,8.6,5.21,295.0,74.43,490.0,57.67,532.0,40.76,125.0,407.0,0.0,0.23,0.1,0.1,0.03,3.72,0.0
"Amaranth leaves, green",C002,3.29,4.41,2.28,128.0,86.85,194.0,48.87,358.0,31.26,111.0,247.0,0.0,0.32,0.09,0.19,0.04,0.7,0.0
"Amaranth leaves, red mix",C003,3.93,4.91,2.37,140.0,85.56,210.0,47.34,326.0,31.48,112.0,214.0,0.0,0.28,0.24,0.04,0.0,0.77,0.0
"Amaranth leaves, red and green mix",C004,3.09,4.6,2.87,132.0,86.37,197.0,46.59,332.0,32.72,118.0,214.0,0.0,0.15,0.03,0.12,0.0,0.95,0.0
"Amaranth spinosus, leaves, green mix",C005,3.54,5.1,1.61,110.0,86.46,85.13,16.46,186.0,7.79,39.0,147.0,0.0,0.14,0.01,0.13,0.0,0.69,0.0
"Amaranth spinosus, leaves, red and green mix",C006,2.8,5.57,1.45,99.0,86.64,85.96,17.77,168.0,7.36,36.85,131.0,0.0,0.13,0.01,0.12,0.0,0.73,0.0
Basella leaves,C007,1.57,2.21,2.01,82.0,92.68,101.0,51.28,203.0,38.96,80.67,123.0,0.0,0.02,0.01,0.01,0.01,1.67,0.0
Bathua leaves,C008,2.5,4.01,2.56,116.0,88.77,120.0,8.61,219.0,0.0,50.68,169.0,0.0,0.52,0.01,0.51,0.0,1.07,0.0
Beet greens,C009,2.38,3.64,3.86,145.0,86.68,188.0,79.51,308.0,72.38,101.0,207.0,0.0,0.13,0.03,0.1,0.0,2.05,0.0
"Betel leaves, big (kolkata)",C010,2.51,2.12,7.37,202.0,84.93,250.0,93.43,256.0,72.07,110.0,146.0,0.0,0.37,0.2,0.17,0.0,6.24,0.0
"Betel leaves, small",C011,2.62,1.97,6.16,183.0,85.92,238.0,82.67,277.0,64.74,104.0,172.0,0.0,0.4,0.2,0.2,0.0,5.14,0.0
Brussels sprouts,C012,4.26,4.29,5.09,185.0,84.39,226.0,88.69,84.92,88.69,43.82,41.11,0.0,0.17,0.04,0.05,0.08,4.31,0.0
"Cabbage, Chinese",C013,1.58,2.01,2.36,75.0,93.19,33.01,15.97,55.01,15.97,11.68,43.33,0.0,0.42,0.2,0.1,0.12,1.0,0.0
"Cabbage, collard greens",C014,3.63,2.98,2.79,126.0,89.53,61.87,37.19,117.0,37.19,54.33,62.6,0.0,0.76,0.41,0.24,0.11,1.59,0.0
"Cabbage, green",C015,1.36,2.76,3.25,90.0,91.85,46.54,30.05,91.4,30.05,42.8,48.61,0.0,1.0,0.52,0.26,0.23,0.53,0.0
"Cabbage, violet",C016,1.39,2.21,3.54,97.0,91.94,58.42,41.14,112.0,41.14,52.26,60.18,0.0,0.8,0.43,0.18,0.19,0.54,0.0
Cauliflower leaves,C017,3.9,3.43,3.39,148.0,87.64,115.0,20.8,224.0,20.8,84.83,139.0,0.0,0.61,0.32,0.24,0.05,1.53,0.0
"Colocasia leaves, green",C018,3.42,5.6,3.69,182.0,83.61,426.0,47.63,689.0,30.39,353.0,335.0,0.0,0.63,0.2,0.1,0.33,2.1,0.0
Drumstick leaves,C019,6.41,8.21,5.62,282.0,75.65,560.0,102.0,668.0,102.0,222.0,446.0,0.0,0.02,0.0,0.02,0.0,2.49,0.0
Fenugreek leaves,C020,3.68,4.9,2.17,144.0,86.73,199.0,20.15,445.0,11.06,82.83,362.0,0.0,0.88,0.71,0.17,0.0,0.6,0.0
Garden cress,C021,5.62,2.6,4.48,208.0,84.02,28.68,8.24,58.71,7.3,34.61,24.1,0.0,0.92,0.1,0.72,0.1,1.25,0.0
"Gogu leaves, green",C022,1.86,4.59,4.06,152.0,87.42,245.0,39.85,584.0,21.97,150.0,434.0,0.0,0.01,0.0,0.01,0.0,1.15,0.0
"Gogu leaves, red",C023,1.85,3.89,4.24,153.0,87.98,243.0,45.93,567.0,26.39,132.0,435.0,0.0,0.01,0.0,0.01,0.0,1.16,0.0
"Knol-Khol, leaves",C024,3.12,2.76,6.16,178.0,86.2,107.0,18.91,154.0,13.07,43.0,111.0,0.0,0.1,0.0,0.05,0.05,4.47,0.0
Lettuce,C025,1.54,1.79,3.01,91.0,92.27,116.0,22.22,208.0,13.16,74.85,134.0,0.0,0.22,0.17,0.05,0.0,1.5,0.0
Mustard leaves,C026,3.52,3.92,2.41,127.0,88.17,142.0,27.56,323.0,11.31,83.12,240.0,0.0,0.04,0.0,0.02,0.02,1.41,0.0
Pak Choi leaves,C027,1.41,1.91,1.78,67.0,93.56,38.98,23.03,138.0,23.03,60.03,77.96,0.0,0.52,0.1,0.2,0.22,1.1,0.0
Parsley,C028,5.55,3.87,9.43,305.0,77.76,345.0,32.94,476.0,18.52,221.0,255.0,0.0,0.69,0.29,0.2,0.2,6.36,0.0
Ponnaganni,C029,5.29,6.74,5.17,213.0,79.43,204.0,33.38,250.0,23.61,107.0,143.0,0.0,0.44,0.11,0.33,0.0,3.66,0.0
"Pumpkin leaves, tender",C030,4.21,2.25,4.75,185.0,85.82,267.0,17.67,313.0,6.91,14.95,298.0,0.0,0.1,0.0,0.1,0.0,2.1,0.0
Radish leaves,C031,2.22,1.82,2.77,109.0,91.19,147.0,26.93,248.0,18.88,45.49,203.0,0.0,0.29,0.14,0.05,0.1,1.8,0.0
Rumex leaves,C032,1.62,1.27,2.33,82.0,93.18,60.92,18.68,188.0,11.73,45.68,143.0,0.0,0.45,0.11,0.21,0.14,1.1,0.0
Spinach,C033,2.14,2.38,2.05,102.0,90.31,183.0,42.83,295.0,32.87,75.06,220.0,0.0,0.24,0.07,0.18,0.0,1.38,0.0
"Tamarind leaves, tender",C034,5.84,10.7,10.04,299.0,71.69,176.0,42.3,306.0,33.01,76.79,230.0,0.0,0.17,0.05,0.12,0.0,6.85,0.0
Ash gourd,D001,0.79,3.37,2.84,73.0,92.17,25.26,7.43,76.47,6.57,74.89,1.58,0.0,0.19,0.12,0.05,0.02,1.01,0.0
"Bamboo shoot, tender",D002,1.33,1.55,1.67,68.0,94.56,41.09,7.45,51.46,7.45,42.23,9.24,0.0,0.09,0.07,0.02,0.0,0.51,0.0
"Bean scarlet, tender",D003,2.86,4.5,5.16,179.0,85.51,266.0,46.81,429.0,38.09,203.0,227.0,0.0,1.03,0.38,0.51,0.14,3.53,0.0
"Bitter gourd, jagged, teeth ridges, elongate",D004,1.44,3.78,2.82,87.0,90.87,144.0,8.08,40.78,4.55,17.74,23.04,0.0,0.04,0.04,0.0,0.0,0.92,0.0
"Bitter gourd, jagged, teeth ridges, short",D005,1.34,3.49,2.53,79.0,91.6,139.0,7.61,55.2,5.36,17.5,37.7,0.0,0.06,0.06,0.0,0.0,0.93,0.0
"Bitter gourd, jagged, smooth ridges, elongate",D006,1.61,3.72,2.29,81.0,91.24,142.0,6.63,59.25,3.91,22.75,36.5,0.0,0.08,0.08,0.0,0.0,0.87,0.0
"Bottle gourd, elongate, pale green",D007,0.53,2.12,1.68,46.0,95.17,41.44,3.54,64.94,3.54,40.31,24.63,0.0,0.36,0.23,0.13,0.0,0.67,0.0
"Bottle gourd, round, pale green",D008,0.42,2.1,2.53,57.0,94.5,41.07,3.47,63.46,3.47,40.53,22.12,0.0,0.34,0.25,0.1,0.0,0.67,0.0
"Bottle gourd, elongate, dark green",D009,0.49,2.11,2.25,54.0,94.63,42.04,9.05,52.92,2.93,32.96,19.35,0.0,0.39,0.33,0.06,0.0,0.58,0.0
Brinjal-1,D010,1.77,3.57,3.49,114.0,89.95,94.53,27.94,210.0,27.94,171.0,38.73,0.0,0.88,0.66,0.03,0.19,1.04,0.0
Brinjal-2,D011,1.82,4.01,2.71,99.0,90.28,88.11,16.8,167.0,16.8,132.0,35.1,0.0,0.98,0.79,0.04,0.15,1.01,0.0
Brinjal-3,D012,1.36,4.26,3.38,102.0,90.02,72.34,21.05,171.0,21.05,143.0,27.38,0.0,0.93,0.52,0.32,0.1,0.51,0.0
Brinjal-4,D013,1.51,4.04,3.19,100.0,90.28,66.91,25.2,158.0,25.2,137.0,21.11,0.0,0.86,0.55,0.15,0.17,0.97,0.0
Brinjal-5,D014,1.38,4.13,4.02,111.0,89.45,69.24,18.56,147.0,18.56,121.0,26.2,0.0,0.99,0.67,0.1,0.22,0.85,0.0
Brinjal-6,D015,1.46,3.68,3.29,97.0,90.57,70.99,16.94,144.0,16.94,117.0,27.38,0.0,1.0,0.52,0.26,0.23,1.36,0.0
Brinjal-7,D016,1.4,3.32,3.1,98.0,91.25,71.72,22.92,153.0,22.92,136.0,17.62,0.0,1.38,1.01,0.3,0.07,0.89,0.0
Brinjal-8,D017,1.82,4.01,3.75,117.0,89.28,68.17,25.32,159.0,25.32,135.0,23.15,0.0,0.79,0.41,0.11,0.27,1.98,0.0
Brinjal-9,D018,1.47,4.0,3.52,106.0,89.83,80.49,25.08,170.0,25.08,147.0,23.6,0.0,0.91,0.47,0.23,0.21,1.54,0.0
Brinjal-10,D019,1.68,3.9,4.08,116.0,89.38,66.0,21.91,132.0,21.91,117.0,15.18,0.0,0.86,0.5,0.23,0.13,1.29,0.0
Brinjal-11,D020,1.43,4.12,3.53,105.0,89.93,68.14,21.59,140.0,21.59,119.0,20.9,0.0,1.05,0.54,0.21,0.3,1.76,0.0
Brinjal-12,D021,1.6,3.89,2.73,93.0,90.94,68.52,17.14,130.0,17.14,111.0,19.12,0.0,1.22,0.82,0.14,0.27,0.75,0.0
Brinjal-13,D022,1.49,3.92,4.51,124.0,89.14,82.96,15.45,150.0,15.45,126.0,23.51,0.0,1.15,0.59,0.37,0.19,1.12,0.0
Brinjal-14,D023,1.56,3.87,3.27,106.0,90.31,59.14,16.76,125.0,16.76,108.0,17.49,0.0,0.88,0.4,0.28,0.2,0.92,0.0
Brinjal-15,D024,1.58,3.99,3.96,114.0,89.44,67.08,24.66,150.0,24.66,131.0,19.2,0.0,0.82,0.4,0.15,0.27,1.08,0.0
Brinjal-16,D025,1.26,3.74,3.46,103.0,90.39,83.65,21.95,166.0,21.95,143.0,23.91,0.0,0.99,0.54,0.13,0.32,0.61,0.0
Brinjal-17,D026,1.18,3.94,2.89,91.0,90.83,81.14,28.21,179.0,28.21,150.0,28.31,0.0,0.85,0.4,0.26,0.19,0.62,0.0
Brinjal-18,D027,1.47,4.38,4.1,116.0,89.07,69.18,20.71,133.0,20.71,111.0,21.75,0.0,1.44,0.95,0.2,0.29,1.28,0.0
Brinjal-19,D028,1.26,3.97,3.39,100.0,90.41,59.27,18.19,124.0,18.19,107.0,16.89,0.0,0.96,0.5,0.32,0.14,1.05,0.0
Brinjal-20,D029,1.44,3.73,3.15,99.0,90.65,79.91,20.28,167.0,20.28,140.0,26.55,0.0,0.76,0.42,0.21,0.12,2.08,0.0
Brinjal-21,D030,1.36,3.85,3.93,113.0,89.83,88.28,25.84,170.0,25.84,140.0,30.14,0.0,0.93,0.7,0.07,0.15,1.08,0.0
Brinjal - all varieties,D031,1.48,3.98,3.52,106.0,90.0,71.15,21.45,149.0,21.45,127.0,22.65,0.0,0.97,0.55,0.2,0.22,1.31,0.0
Broad beans,D032,3.85,8.63,2.11,123.0,84.2,42.62,8.53,64.85,7.85,42.97,21.88,0.0,1.22,0.61,0.41,0.2,0.84,0.0
"Capsicum, green",D033,1.11,2.06,1.84,68.0,93.89,77.03,12.71,172.0,11.29,135.0,37.08,0.0,0.86,0.42,0.2,0.23,0.31,0.0
"Capsicum, red",D034,1.47,2.19,2.14,83.0,92.99,86.39,47.65,217.0,43.51,180.0,37.77,0.0,0.93,0.34,0.26,0.33,0.08,0.0
"Capsicum, yellow",D035,1.35,2.19,1.95,78.0,93.38,102.0,55.55,201.0,51.44,161.0,39.49,0.0,0.97,0.38,0.25,0.35,0.12,0.0
Cauliflower,D036,2.15,3.71,2.03,96.0,90.76,117.0,24.83,216.0,24.83,99.0,117.0,0.0,0.47,0.27,0.14,0.06,0.59,0.0
Celery stalk,D037,0.98,2.09,2.33,69.0,92.87,62.76,5.94,131.0,5.94,99.0,32.33,0.0,0.75,0.15,0.25,0.35,0.68,0.0
Cho-cho-marrow,D038,0.66,1.55,3.47,79.0,93.78,76.12,13.3,22.58,13.3,12.6,9.98,0.0,0.76,0.4,0.25,0.12,1.17,0.0
Cluster beans,D039,3.55,4.83,4.91,168.0,84.65,107.0,30.24,148.0,30.24,84.74,63.4,0.0,0.12,0.0,0.1,0.02,4.42,0.0
"Colocasia, stem, black",D040,0.76,3.01,3.83,100.0,91.15,103.0,14.98,154.0,13.12,113.0,41.36,0.0,0.53,0.37,0.16,0.0,0.55,0.0
"Colocasia, stem, green",D041,0.91,2.33,2.86,81.0,92.67,67.53,7.78,110.0,6.37,82.53,27.75,0.0,0.25,0.09,0.16,0.0,0.89,0.0
"Corn, Baby",D042,2.69,6.09,11.66,306.0,75.44,211.0,392.0,459.0,384.0,433.0,25.69,0.0,0.49,0.2,0.15,0.14,4.12,0.0
"Cucumber, green, elongate",D043,0.71,2.14,3.48,82.0,92.96,64.17,10.57,67.93,8.58,59.3,8.63,0.0,0.27,0.25,0.02,0.0,0.5,0.0
"Cucumber, green, short",D044,0.83,2.13,2.82,73.0,93.52,67.77,8.4,51.83,7.24,35.73,16.1,0.0,0.21,0.19,0.02,0.0,0.58,0.0
"Cucumber, orange, round",D045,0.98,2.46,3.01,82.0,92.8,71.9,7.41,68.7,5.42,45.94,22.76,0.0,0.22,0.18,0.05,0.0,0.53,0.0
Drumstick,D046,2.62,6.83,3.76,123.0,85.39,29.05,46.4,27.21,45.05,19.14,8.07,0.0,1.47,1.02,0.2,0.24,1.31,0.0
"Field beans, tender, broad",D047,3.06,5.64,2.75,129.0,86.98,182.0,33.91,301.0,33.91,204.0,96.74,0.0,0.95,0.68,0.21,0.06,1.68,0.0
"Field beans, tender, lean",D048,3.71,6.19,2.85,140.0,85.57,175.0,26.28,281.0,26.28,195.0,86.04,0.0,0.76,0.59,0.15,0.02,1.51,0.0
"French beans, country",D049,2.49,4.38,2.68,102.0,89.14,71.07,11.13,127.0,8.6,59.21,68.19,0.0,1.06,0.6,0.12,0.12,0.75,0.0
"French beans, hybrid",D050,2.12,4.18,2.63,93.0,90.11,66.8,11.85,135.0,9.88,62.83,72.13,0.0,1.0,0.65,0.14,0.1,0.77,0.0
"Jack fruit, raw",D051,1.98,7.69,3.48,110.0,85.52,47.36,115.0,107.0,21.79,68.67,38.57,0.0,2.02,1.21,0.26,0.55,0.02,0.0
"Jack fruit, seed, mature",D052,5.79,8.63,11.81,322.0,72.32,146.0,16.21,181.0,13.52,154.0,26.51,0.0,2.23,1.45,0.67,0.11,6.54,0.0
Knol - Khol,D053,1.58,2.75,1.39,67.0,93.14,97.4,31.62,130.0,27.29,59.04,71.39,0.0,0.43,0.05,0.11,0.27,0.51,0.0
"Kovai, big",D054,1.39,3.0,2.01,73.0,92.78,68.84,4.35,98.82,3.37,59.07,39.75,0.0,0.98,0.74,0.06,0.0,0.22,0.0
"Kovai, small",D055,1.22,3.25,2.41,80.0,92.4,75.33,4.51,112.0,3.97,83.07,29.1,0.0,1.07,0.83,0.1,0.0,0.12,0.0
Ladies finger,D056,2.08,4.08,3.62,115.0,89.06,69.37,8.1,109.0,7.22,76.82,32.38,0.0,0.48,0.4,0.07,0.05,0.89,0.0
"Mango, green, raw",D057,0.69,3.01,10.59,205.0,85.14,27.28,9.25,30.13,7.15,17.53,12.61,0.0,2.42,1.84,0.52,0.0,5.8,0.0
"Onion, stalk",D058,2.07,5.21,2.99,107.0,88.35,92.08,5.52,98.98,5.52,55.43,43.55,0.0,0.41,0.0,0.05,0.06,1.1,0.0
"Papaya, raw",D059,0.5,2.28,4.4,100.0,92.04,69.15,44.53,75.64,44.53,66.04,9.6,0.0,3.63,2.64,0.99,0.0,0.0,0.0
Parwar,D060,1.4,2.61,3.54,101.0,91.57,95.93,13.19,112.0,13.19,91.87,20.35,0.0,0.37,0.31,0.06,0.0,0.9,0.0
"Peas, fresh",D061,7.25,6.32,11.88,340.0,73.37,19.01,28.75,56.24,28.75,46.75,9.49,0.0,0.97,0.41,0.2,0.36,6.92,0.0
"Plantain, flower",D062,1.47,5.25,2.15,89.0,89.14,273.0,31.69,198.0,29.84,154.0,44.08,0.0,0.17,0.13,0.04,0.0,1.86,0.0
"Plantain, green",D063,1.18,3.6,17.58,334.0,76.15,57.13,16.21,107.0,16.21,72.89,33.77,0.0,0.86,0.76,0.1,0.0,15.43,0.0
"Plantain, stem",D064,0.35,2.12,8.64,165.0,87.53,27.45,2.71,28.5,2.06,14.12,14.38,0.0,0.65,0.0,0.65,0.0,4.51,0.0
"Pumpkin, green, cylindrical",D065,0.87,2.53,4.22,103.0,91.73,53.32,25.17,65.51,23.99,38.94,26.57,0.0,2.9,1.03,1.01,0.86,0.2,0.0
"Pumpkin, orange, round",D066,0.84,2.56,4.0,97.0,91.85,44.58,22.02,62.73,21.04,36.17,26.57,0.0,2.97,1.9,0.33,0.74,0.33,0.0
"Red gram, tender, fresh",D067,8.09,5.9,19.46,520.0,64.0,211.0,51.13,474.0,51.13,427.0,47.24,0.0,0.55,0.22,0.1,0.23,14.02,0.0
Ridge gourd,D068,0.91,1.81,1.72,55.0,94.99,54.49,2.57,55.08,1.75,28.66,26.42,0.0,0.62,0.45,0.08,0.03,0.81,0.0
"Ridge gourd, smooth skin",D069,0.98,1.85,2.24,64.0,94.27,43.07,2.95,57.98,2.08,29.79,28.19,0.0,0.41,0.32,0.06,0.02,0.79,0.0
"Snake gourd, long, pale green",D070,0.98,2.27,1.27,52.0,94.81,94.9,4.89,97.54,4.89,42.96,54.59,0.0,0.42,0.31,0.05,0.01,0.78,0.0
"Snake gourd, long, dark green",D071,0.89,2.27,1.23,50.0,94.92,95.87,4.77,99.36,4.77,45.65,53.71,0.0,0.45,0.3,0.1,0.01,0.74,0.0
"Snake gourd, short",D072,0.54,2.29,2.15,61.0,94.35,100.0,2.96,105.0,2.96,34.56,70.55,0.0,0.46,0.31,0.12,0.01,0.72,0.0
"Tinda, tender",D073,1.02,2.0,1.9,58.0,94.41,48.97,6.28,76.11,5.75,46.46,30.39,0.0,0.44,0.25,0.07,0.0,0.64,0.0
"Tomato, green",D074,1.12,1.62,3.18,87.0,93.21,46.91,36.91,109.0,35.51,95.45,13.57,0.0,0.83,0.41,0.42,0.0,0.48,0.0
"Tomato, ripe, hybrid",D075,0.76,1.58,3.2,79.0,93.79,47.65,30.5,119.0,29.25,104.0,14.7,0.0,1.82,1.65,0.18,0.0,0.0,0.0
"Tomato, ripe, local",D076,0.9,1.77,2.71,82.0,93.62,79.56,58.66,208.0,56.55,185.0,23.59,0.0,1.34,1.16,0.18,0.0,0.0,0.0
"Zucchini, green",D077,1.1,2.3,2.33,84.0,92.83,119.0,37.83,251.0,36.38,98.72,152.0,0.0,0.14,0.12,0.02,0.0,1.47,0.0
"Zucchini, yellow",D078,1.31,1.84,2.2,79.0,93.15,56.92,21.32,114.0,19.87,43.0,71.42,0.0,0.29,0.19,0.1,0.0,1.07,0.0
"Apple, big",E001,0.29,2.59,13.11,261.0,83.01,154.0,51.13,282.0,51.13,249.0,32.63,0.0,9.53,8.36,1.03,0.14,0.0,0.0
